Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),,,,,
Loharu,8/30/2024,0.6,Other,2400,2500,2500,,,,,
Madlauda,8/1/2024,0.5,Other,4000,5000,4500,,,,,
Madlauda,8/2/2024,0.45,Other,3000,3500,3250,,,,,
Madlauda,8/3/2024,0.4,Other,3200,3500,3200,,,,,
Madlauda,8/4/2024,0.3,Other,2500,2500,2500,,,,,
Madlauda,8/5/2024,0.3,Other,3000,3500,3250,,,,,
Madlauda,8/6/2024,0.45,Other,2500,2500,2500,,,,,
Madlauda,8/7/2024,0.45,Other,3000,3000,3000,,,,,
Madlauda,8/9/2024,0.5,Other,3000,3000,3000,,,,,
Madlauda,8/10/2024,0.6,Other,2500,2500,2500,,,,,
Madlauda,8/11/2024,0.35,Other,3000,3000,3000,,,,,
Madlauda,8/12/2024,0.45,Other,2800,3200,3000,,,,,
Madlauda,8/13/2024,0.55,Other,3000,3000,3000,,,,,
Madlauda,8/15/2024,0.35,Other,3000,3000,3000,,,,,
Madlauda,8/16/2024,0.7,Other,3000,3500,3250,,,,,
Madlauda,8/17/2024,0.35,Other,3500,3500,3500,,,,,
Madlauda,8/19/2024,0.6,Other,3000,3200,3000,,,,,
Madlauda,8/20/2024,0.5,Other,3000,3200,3100,,,,,
Madlauda,8/21/2024,0.35,Other,2500,3200,2850,,,,,
Madlauda,8/22/2024,0.6,Other,2500,2700,2600,,,,,
Madlauda,8/23/2024,0.5,Other,2700,3000,2850,,,,,
Madlauda,8/24/2024,0.45,Other,2500,2500,2500,,,,,
Madlauda,8/25/2024,0.25,Other,3000,3000,3000,,,,,
Madlauda,8/26/2024,0.3,Other,3000,3000,3000,,,,,
Madlauda,8/27/2024,0.2,Other,3000,3000,3000,,,,,
Madlauda,8/28/2024,0.4,Other,2500,3000,2750,,,,,
Madlauda,8/29/2024,0.3,Other,2500,3000,2750,,,,,
Madlauda,8/30/2024,0.2,Other,2500,3500,3000,,,,,
Madlauda,8/31/2024,0.15,Other,3000,3000,3000,,,,,
Meham,8/2/2024,0.2,Deshi,3500,3500,3500,,,,,
Meham,8/5/2024,0.7,Deshi,2000,3000,2500,,,,,
Meham,8/6/2024,0.4,Deshi,2000,3000,2500,,,,,
Meham,8/7/2024,0.6,Deshi,2000,2500,2300,,,,,
Meham,8/8/2024,0.6,Deshi,2500,2500,2500,,,,,
Meham,8/9/2024,0.3,Deshi,3000,3000,3000,,,,,
Meham,8/10/2024,0.5,Deshi,2000,3000,2500,,,,,
Meham,8/12/2024,0.4,Deshi,3000,4000,3500,,,,,
Meham,8/13/2024,0.3,Deshi,3000,3000,3000,,,,,
Meham,8/15/2024,0.7,Deshi,3000,3000,3000,,,,,
Meham,8/16/2024,0.5,Deshi,2500,3500,3000,,,,,
Meham,8/17/2024,0.8,Deshi,3000,3000,3000,,,,,
Meham,8/19/2024,0.3,Deshi,3000,3000,3000,,,,,
Meham,8/20/2024,0.4,Deshi,3000,3000,3000,,,,,
Meham,8/21/2024,0.9,Deshi,3000,3000,3000,,,,,
Meham,8/22/2024,0.6,Deshi,3000,3500,3200,,,,,
Meham,8/23/2024,0.8,Deshi,2500,3000,2800,,,,,
Meham,8/24/2024,0.9,Deshi,3000,3000,3000,,,,,
Meham,8/26/2024,0.6,Deshi,3000,3000,3000,,,,,
Meham,8/27/2024,0.4,Deshi,3000,3000,3000,,,,,
Meham,8/28/2024,0.7,Deshi,2000,2500,2300,,,,,
Meham,8/29/2024,0.8,Deshi,2000,2500,2200,,,,,
Meham,8/30/2024,0.3,Deshi,2500,2500,2500,,,,,
Meham,8/31/2024,0.3,Deshi,2500,2500,2500,,,,,
Mohindergarh,8/2/2024,1.77,Tomato,3000,3500,3000,,,,,
Mohindergarh,8/3/2024,3.65,Tomato,2500,4000,3000,,,,,
Mohindergarh,8/5/2024,5.7,Tomato,3000,4000,3500,,,,,
Mohindergarh,8/7/2024,2.7,Tomato,3000,4000,3500,,,,,
Mohindergarh,8/8/2024,3.68,Tomato,2000,3500,3000,,,,,
Mohindergarh,8/9/2024,1.5,Tomato,2500,3000,3000,,,,,
Mohindergarh,8/12/2024,4,Tomato,2000,3500,3000,,,,,
Mohindergarh,8/14/2024,3.4,Tomato,2000,3000,3000,,,,,
Mohindergarh,8/20/2024,2.85,Tomato,2000,3000,3000,,,,,
Mohindergarh,8/21/2024,3.05,Tomato,2000,3000,3000,,,,,
Mohindergarh,8/22/2024,4.7,Tomato,2000,3000,2500,,,,,
Mohindergarh,8/23/2024,2.4,Tomato,2500,3000,3000,,,,,
Mohindergarh,8/24/2024,5.15,Tomato,2000,2500,2200,,,,,
Mohindergarh,8/27/2024,1.15,Tomato,3000,3000,3000,,,,,
Mohindergarh,8/28/2024,3.4,Tomato,2500,2500,2500,,,,,
Mohindergarh,8/29/2024,6.9,Tomato,2000,2500,2500,,,,,
Mohindergarh,8/30/2024,5.5,Tomato,1500,2000,2000,,,,,
Mohindergarh,8/31/2024,3.6,Tomato,2000,3000,2000,,,,,
Mustafabad,8/1/2024,0.04,Other,5200,5500,5200,,,,,
Mustafabad,8/2/2024,0.04,Other,5200,5500,5200,,,,,
Mustafabad,8/3/2024,0.04,Other,5200,6000,5500,,,,,
Mustafabad,8/4/2024,0.07,Other,3600,4000,3800,,,,,
Mustafabad,8/5/2024,0.08,Other,3500,4000,3600,,,,,
Mustafabad,8/6/2024,0.07,Other,3500,4000,3600,,,,,
Mustafabad,8/7/2024,0.07,Other,3500,4000,4000,,,,,
Mustafabad,8/8/2024,0.07,Other,3500,4000,3600,,,,,
Mustafabad,8/9/2024,0.08,Other,3500,4000,3600,,,,,
Mustafabad,8/10/2024,0.08,Other,3500,4000,3800,,,,,
Mustafabad,8/11/2024,0.08,Other,3500,4000,3600,,,,,
Mustafabad,8/12/2024,0.08,Other,3600,4000,3800,,,,,
Mustafabad,8/13/2024,0.06,Other,3500,4500,3600,,,,,
Mustafabad,8/14/2024,0.07,Other,3500,4000,3800,,,,,
Mustafabad,8/15/2024,0.06,Other,3500,4000,3600,,,,,
Mustafabad,8/16/2024,0.07,Other,3500,4000,3800,,,,,
Mustafabad,8/17/2024,0.08,Other,3600,4000,3800,,,,,
Mustafabad,8/19/2024,0.08,Other,3600,4000,3800,,,,,
Mustafabad,8/20/2024,0.06,Other,3600,4000,3600,,,,,
Mustafabad,8/21/2024,0.06,Other,3600,3800,3600,,,,,
Mustafabad,8/22/2024,0.04,Other,3600,4000,3800,,,,,
Mustafabad,8/23/2024,0.08,Other,3600,3800,3600,,,,,
Mustafabad,8/24/2024,0.05,Other,3600,4000,3800,,,,,
Mustafabad,8/28/2024,0.12,Other,2500,3000,2600,,,,,
Mustafabad,8/29/2024,0.12,Other,2600,3000,2600,,,,,
Mustafabad,8/30/2024,0.11,Other,2600,3000,2800,,,,,
Naraingarh,8/1/2024,1.09,Tomato,1000,4000,2200,,,,,
Naraingarh,8/2/2024,3.38,Tomato,1200,3500,2500,,,,,
Naraingarh,8/3/2024,4.42,Tomato,1300,3000,2400,,,,,
Naraingarh,8/5/2024,3.06,Tomato,1500,3000,2000,,,,,
Naraingarh,8/6/2024,3.36,Tomato,800,3000,2000,,,,,
Naraingarh,8/7/2024,2.54,Tomato,1500,3500,2500,,,,,
Naraingarh,8/8/2024,4.17,Tomato,1200,3000,2000,,,,,
Naraingarh,8/9/2024,2.52,Tomato,1000,3000,2000,,,,,
Naraingarh,8/10/2024,3.26,Tomato,1000,3000,2000,,,,,
Naraingarh,8/12/2024,3.33,Tomato,1200,3000,2000,,,,,
Naraingarh,8/13/2024,2.06,Tomato,1600,2500,2000,,,,,
Naraingarh,8/14/2024,2.43,Tomato,1550,3000,2000,,,,,
Naraingarh,8/15/2024,1.82,Tomato,2000,3500,2500,,,,,
Naraingarh,8/16/2024,2.48,Tomato,1800,3000,2200,,,,,
Naraingarh,8/17/2024,3.12,Tomato,1600,3500,2200,,,,,
Naraingarh,8/19/2024,4.65,Tomato,1000,3000,2000,,,,,
Naraingarh,8/20/2024,6.42,Tomato,500,2500,2000,,,,,
Naraingarh,8/21/2024,3.24,Tomato,1000,3000,2000,,,,,
Naraingarh,8/22/2024,4.13,Tomato,900,3000,1500,,,,,
Naraingarh,8/23/2024,3.77,Tomato,800,2200,1500,,,,,
Naraingarh,8/24/2024,3.32,Tomato,1000,2200,1500,,,,,
Naraingarh,8/26/2024,3.9,Tomato,1000,3000,1500,,,,,
Naraingarh,8/27/2024,2.91,Tomato,1000,2800,2000,,,,,
Naraingarh,8/28/2024,3.45,Tomato,1000,3000,1800,,,,,
Naraingarh,8/29/2024,2.15,Tomato,1000,2500,1500,,,,,
Naraingarh,8/30/2024,2.87,Tomato,1000,2500,1600,,,,,
Naraingarh,8/31/2024,2.61,Tomato,1000,2200,1850,,,,,
Narnaul,8/1/2024,1.8,Other,3000,4000,3500,,,,,
Narnaul,8/2/2024,2.2,Other,3000,4000,3500,,,,,
Narnaul,8/3/2024,1.7,Other,3000,4000,4000,,,,,
Narnaul,8/4/2024,3.9,Other,2000,3500,2200,,,,,
Narnaul,8/5/2024,2.8,Other,3000,4000,3500,,,,,
Narnaul,8/6/2024,4.3,Other,3000,4000,3500,,,,,
Narnaul,8/7/2024,2.7,Other,3000,4000,4000,,,,,
Narnaul,8/8/2024,3.4,Other,3000,4000,3500,,,,,
Narnaul,8/9/2024,4.6,Other,2500,4000,3500,,,,,
Narnaul,8/10/2024,3.6,Other,2500,4000,3500,,,,,
Narnaul,8/11/2024,2.3,Other,3000,3500,3500,,,,,
Narnaul,8/12/2024,2.3,Other,3000,3500,3500,,,,,
Narnaul,8/13/2024,4,Other,2500,3500,3000,,,,,
Narnaul,8/14/2024,3.5,Other,3000,3500,3500,,,,,
Narnaul,8/15/2024,3.1,Other,2500,3500,3000,,,,,
Narnaul,8/16/2024,3.6,Other,2500,3500,3000,,,,,
Narnaul,8/17/2024,4,Other,3000,3500,3200,,,,,
Narnaul,8/18/2024,3.9,Other,2500,3500,3200,,,,,
Narnaul,8/20/2024,4.4,Other,3000,3500,3500,,,,,
Narnaul,8/21/2024,3,Other,2500,3500,3000,,,,,
Narnaul,8/22/2024,4.9,Other,2500,4000,3500,,,,,
Narnaul,8/23/2024,3.1,Other,2000,3500,3000,,,,,
Narnaul,8/24/2024,4.7,Other,2500,3500,3000,,,,,
Narnaul,8/25/2024,3.5,Other,2500,3500,3000,,,,,
Narnaul,8/26/2024,3,Other,2500,3000,3000,,,,,
Narnaul,8/27/2024,2.5,Other,2500,3000,2800,,,,,
Narnaul,8/28/2024,3.5,Other,2500,3000,3000,,,,,
Narnaul,8/29/2024,3.4,Other,2500,3000,3000,,,,,
Narnaul,8/30/2024,4.9,Other,2000,3000,2500,,,,,
Narnaul,8/31/2024,2.2,Other,2000,2500,2500,,,,,
Narwana,8/1/2024,0.8,Other,4000,5000,4500,,,,,
Narwana,8/2/2024,1.7,Other,4000,5000,4500,,,,,
Narwana,8/3/2024,0.8,Other,4000,4000,4000,,,,,
Narwana,8/4/2024,0.7,Other,4000,5000,4500,,,,,
Narwana,8/5/2024,0.5,Other,4000,5000,4500,,,,,
Narwana,8/6/2024,0.5,Other,4000,4500,4500,,,,,
Narwana,8/7/2024,0.8,Other,2000,2500,2250,,,,,
Narwana,8/8/2024,0.8,Other,3000,3500,3250,,,,,
Narwana,8/10/2024,2.3,Other,2000,3500,3000,,,,,
Narwana,8/11/2024,1,Other,3000,3000,3000,,,,,
Narwana,8/12/2024,2,Other,3000,3500,3250,,,,,
Narwana,8/13/2024,1.2,Other,3500,3500,3500,,,,,
Narwana,8/14/2024,0.8,Other,3000,3500,3250,,,,,
Narwana,8/15/2024,1.6,Other,3500,3500,3500,,,,,
Narwana,8/16/2024,1.2,Other,3500,3500,3500,,,,,
Narwana,8/17/2024,0.8,Other,3000,3000,3000,,,,,
Narwana,8/19/2024,1,Other,3500,4000,3750,,,,,
Narwana,8/20/2024,1.8,Other,3000,3000,3000,,,,,
Narwana,8/21/2024,1.3,Other,3000,3500,3250,,,,,
Narwana,8/22/2024,1.5,Other,3000,3500,3500,,,,,
Narwana,8/23/2024,0.9,Other,2500,3000,3000,,,,,
Narwana,8/24/2024,1.6,Other,2500,3000,3000,,,,,
Narwana,8/26/2024,1.2,Other,2500,3000,2750,,,,,
Narwana,8/27/2024,1.4,Other,2500,3000,3000,,,,,
Narwana,8/28/2024,0.7,Other,2500,2500,2500,,,,,
Narwana,8/29/2024,1.5,Other,2500,3000,2750,,,,,
Narwana,8/30/2024,0.7,Other,2500,3000,2750,,,,,
"New Grain Market , Faridabad",8/1/2024,12.6,Deshi,2500,3500,3000,,,,,
"New Grain Market , Faridabad",8/2/2024,29,Deshi,2500,3500,3000,,,,,
"New Grain Market , Faridabad",8/3/2024,33,Deshi,2000,3600,2800,,,,,
"New Grain Market , Faridabad",8/4/2024,32,Deshi,2500,4000,3250,,,,,
"New Grain Market , Faridabad",8/5/2024,21.5,Deshi,2500,4200,3350,,,,,
"New Grain Market , Faridabad",8/8/2024,39,Deshi,2000,3500,2750,,,,,
"New Grain Market , Faridabad",8/9/2024,40,Deshi,2000,3500,2650,,,,,
"New Grain Market , Faridabad",8/10/2024,29,Deshi,2500,3500,3000,,,,,
"New Grain Market , Faridabad",8/11/2024,34,Deshi,2000,3300,2650,,,,,
"New Grain Market , Faridabad",8/12/2024,30,Deshi,2000,3500,2750,,,,,
"New Grain Market , Panchkula",8/5/2024,1,Other,2500,3500,3000,,,,,
"New Grain Market , Panchkula",8/7/2024,1,Other,3000,4000,3500,,,,,
"New Grain Market , Panchkula",8/12/2024,1,Other,2500,3500,3000,,,,,
"New Grain Market(main), Karnal",8/1/2024,10,Other,2000,4000,3000,,,,,
"New Grain Market(main), Karnal",8/3/2024,35.1,Other,1600,4000,2800,,,,,
"New Grain Market(main), Karnal",8/4/2024,22.1,Other,1200,3200,2200,,,,,
"New Grain Market(main), Karnal",8/5/2024,27.9,Other,800,2000,1400,,,,,
"New Grain Market(main), Karnal",8/6/2024,11.2,Other,1500,2800,2150,,,,,
"New Grain Market(main), Karnal",8/7/2024,10.5,Other,1800,4000,2900,,,,,
"New Grain Market(main), Karnal",8/10/2024,22.2,Other,1800,3000,2400,,,,,
"New Grain Market(main), Karnal",8/11/2024,17.2,Other,1800,3000,2400,,,,,
"New Grain Market(main), Karnal",8/12/2024,12.9,Other,1800,3500,2650,,,,,
"New Grain Market(main), Karnal",8/17/2024,25,Other,1600,3500,2550,,,,,
"New Grain Market(main), Karnal",8/18/2024,28.5,Other,1600,3500,2600,,,,,
"New Grain Market(main), Karnal",8/19/2024,29,Other,1200,3500,2450,,,,,
"New Grain Market(main), Karnal",8/20/2024,19.9,Other,1200,3500,2450,,,,,
"New Grain Market(main), Karnal",8/21/2024,21.8,Other,1200,3000,2100,,,,,
"New Grain Market(main), Karnal",8/22/2024,27.4,Other,1200,2800,2000,,,,,
"New Grain Market(main), Karnal",8/24/2024,45.6,Other,1200,3000,2100,,,,,
"New Grain Market(main), Karnal",8/25/2024,12.5,Other,1200,2500,1850,,,,,
"New Grain Market(main), Karnal",8/26/2024,20.2,Other,1200,2500,1850,,,,,
"New Grain Market(main), Karnal",8/27/2024,9,Other,1600,3500,2550,,,,,
"New Grain Market(main), Karnal",8/28/2024,27.2,Other,1400,2800,2100,,,,,
"New Grain Market(main), Karnal",8/29/2024,26,Other,1200,2500,1850,,,,,
"New Grain Market(main), Karnal",8/31/2024,40.5,Other,1200,2200,1700,,,,,
Nuh,8/1/2024,0.6,Other,2000,3000,2500,,,,,
Palwal,8/2/2024,3.8,Tomato,3000,5000,4000,,,,,
Palwal,8/5/2024,2.5,Tomato,3000,5000,4000,,,,,
Palwal,8/6/2024,3.2,Tomato,3000,5000,4000,,,,,
Palwal,8/8/2024,0.7,Tomato,3000,4000,3500,,,,,
Palwal,8/9/2024,1.8,Tomato,3000,4000,3500,,,,,
Palwal,8/10/2024,1.8,Tomato,3000,4000,3500,,,,,
Palwal,8/12/2024,1,Tomato,3000,4000,3500,,,,,
Palwal,8/13/2024,2.4,Tomato,3000,4000,3500,,,,,
Palwal,8/14/2024,2.5,Tomato,3000,4000,3500,,,,,
Palwal,8/15/2024,0.5,Tomato,3000,4000,3500,,,,,
Palwal,8/16/2024,3.6,Tomato,3000,4000,3500,,,,,
Palwal,8/17/2024,1.5,Tomato,3000,4000,3500,,,,,
Palwal,8/18/2024,3.7,Tomato,3000,4000,3500,,,,,
Palwal,8/19/2024,1.8,Tomato,3000,4000,3500,,,,,
Palwal,8/20/2024,1.8,Tomato,3000,4000,3500,,,,,
Palwal,8/21/2024,5,Tomato,3000,4000,3500,,,,,
Palwal,8/22/2024,1.8,Tomato,3000,4000,3500,,,,,
Palwal,8/23/2024,3.1,Tomato,3000,4000,3500,,,,,
Palwal,8/24/2024,0.6,Tomato,3000,4000,3500,,,,,
Palwal,8/25/2024,3.6,Tomato,3000,4000,3500,,,,,
Palwal,8/28/2024,5.7,Tomato,3000,4000,3500,,,,,
Palwal,8/29/2024,4.7,Tomato,3000,5000,4000,,,,,
Palwal,8/30/2024,3.8,Tomato,3000,4000,3500,,,,,
Palwal,8/31/2024,10.1,Tomato,3000,4000,3500,,,,,
Panipat,8/1/2024,23.2,Other,2000,4000,3000,,,,,
Panipat,8/2/2024,21.5,Other,2000,3000,2500,,,,,
Panipat,8/4/2024,25.1,Other,2000,4000,3000,,,,,
Panipat,8/5/2024,18.2,Other,2000,2800,2400,,,,,
Panipat,8/6/2024,21.6,Other,1500,2500,2000,,,,,
Panipat,8/7/2024,22.7,Other,1500,2500,2000,,,,,
Panipat,8/10/2024,19.5,Other,2000,4000,3000,,,,,
Panipat,8/11/2024,20.5,Other,2000,3000,2500,,,,,
Panipat,8/13/2024,15.5,Other,1000,2500,1800,,,,,
Panipat,8/16/2024,31,Other,1000,3000,2000,,,,,
Panipat,8/17/2024,18.5,Other,1000,3000,2000,,,,,
Panipat,8/19/2024,21.3,Other,2000,4000,3000,,,,,
Panipat,8/20/2024,20.3,Other,1000,3000,2000,,,,,
Panipat,8/22/2024,12.2,Other,2000,3000,2500,,,,,
Panipat,8/23/2024,15.2,Other,2000,2800,2400,,,,,
Panipat,8/24/2024,17.5,Other,1000,3000,2000,,,,,
Panipat,8/26/2024,19.5,Other,1500,3500,2500,,,,,
Panipat,8/27/2024,18.6,Other,2000,2800,2400,,,,,
Panipat,8/29/2024,32.5,Other,2000,3000,2500,,,,,
Panipat,8/30/2024,17.9,Other,2000,2800,2400,,,,,
Pataudi,8/4/2024,1.9,Other,3500,4000,3800,,,,,
Pataudi,8/5/2024,4.1,Other,3500,4000,3800,,,,,
Pataudi,8/6/2024,3.8,Other,3500,4000,3800,,,,,
Pataudi,8/8/2024,1.9,Other,3500,4500,4000,,,,,
Pataudi,8/9/2024,2.5,Other,3000,4500,4000,,,,,
Pataudi,8/12/2024,1.3,Other,3500,4000,3800,,,,,
Pataudi,8/13/2024,3.4,Other,3800,4200,4000,,,,,
Pataudi,8/14/2024,3.9,Other,3400,4000,3800,,,,,
Pataudi,8/16/2024,2.2,Other,3800,4500,4000,,,,,
Pataudi,8/17/2024,2.3,Other,3500,4000,3800,,,,,
Pataudi,8/19/2024,2.6,Other,3500,4000,3800,,,,,
Pataudi,8/21/2024,4.3,Other,2400,4200,3500,,,,,
Pataudi,8/22/2024,3.7,Other,3300,4000,3500,,,,,
Pataudi,8/23/2024,1.7,Other,3400,4000,3800,,,,,
Pataudi,8/24/2024,3.8,Other,3000,3600,3200,,,,,
Pataudi,8/26/2024,1.2,Other,3500,4200,4000,,,,,
Pataudi,8/27/2024,3.3,Other,3300,3800,3500,,,,,
Pataudi,8/28/2024,4.1,Other,3000,3500,3200,,,,,
Pataudi,8/29/2024,2.6,Other,3000,3500,3200,,,,,
Pataudi,8/31/2024,6.5,Other,2000,2500,2200,,,,,
Pehowa,8/1/2024,0.2,Other,1600,1900,1800,,,,,
Pehowa,8/2/2024,0.2,Other,1600,1900,1800,,,,,
Pehowa,8/5/2024,0.2,Other,1500,1900,1600,,,,,
Pehowa,8/6/2024,0.2,Other,1600,1900,1800,,,,,
Pehowa,8/8/2024,0.2,Other,1600,1900,1800,,,,,
Pehowa,8/9/2024,0.2,Other,1500,1600,1600,,,,,
Pehowa,8/12/2024,0.2,Other,1600,1900,1680,,,,,
Pehowa,8/13/2024,0.2,Other,1500,1900,1600,,,,,
Pehowa,8/16/2024,2.2,Other,1600,1800,1650,,,,,
Pehowa,8/30/2024,0.2,Other,1400,1600,1500,,,,,
Pehowa,8/31/2024,0.2,Other,1500,1600,1600,,,,,
Pundri,8/1/2024,0.05,Other,4300,4400,4350,,,,,
Pundri,8/3/2024,0.3,Other,4400,4500,4450,,,,,
Pundri,8/4/2024,0.3,Other,4100,4200,4150,,,,,
Pundri,8/5/2024,0.95,Other,4100,4500,4350,,,,,
Pundri,8/6/2024,0.45,Other,3300,3400,3350,,,,,
Pundri,8/7/2024,0.2,Other,3500,3600,3550,,,,,
Pundri,8/8/2024,0.6,Other,3400,3500,3450,,,,,
Pundri,8/9/2024,1.3,Other,3300,3400,3350,,,,,
Pundri,8/11/2024,0.1,Other,3300,3400,3350,,,,,
Pundri,8/12/2024,0.9,Other,3600,3800,3700,,,,,
Pundri,8/13/2024,0.6,Other,3000,3200,3100,,,,,
Pundri,8/14/2024,0.2,Other,2900,3000,2950,,,,,
Pundri,8/15/2024,0.5,Other,3100,3200,3150,,,,,
Pundri,8/16/2024,0.7,Other,3000,3100,3050,,,,,
Pundri,8/17/2024,1.3,Other,2900,3300,3100,,,,,
Pundri,8/19/2024,0.6,Other,2800,3000,2900,,,,,
Pundri,8/20/2024,0.55,Other,2600,2800,2700,,,,,
Pundri,8/21/2024,1.52,Other,2400,2800,2600,,,,,
Pundri,8/22/2024,1.35,Other,2200,2500,2350,,,,,
Pundri,8/25/2024,0.9,Other,2100,2400,2250,,,,,
Pundri,8/26/2024,0.1,Other,2300,2400,2350,,,,,
Pundri,8/30/2024,0.7,Other,1400,2100,1750,,,,,
Punhana,8/2/2024,2.5,Other,3000,3000,3000,,,,,
Punhana,8/3/2024,2.4,Other,4000,4500,4200,,,,,
Punhana,8/5/2024,3.1,Other,4000,4000,4000,,,,,
Punhana,8/6/2024,1.9,Other,4000,4000,4000,,,,,
Punhana,8/7/2024,1.7,Other,4000,4000,4000,,,,,
Punhana,8/8/2024,1.1,Other,4000,4000,4000,,,,,
Punhana,8/9/2024,1.4,Other,4000,4000,4000,,,,,
Punhana,8/10/2024,1.7,Other,4000,4000,4000,,,,,
Punhana,8/11/2024,2,Other,4000,4000,4000,,,,,
Punhana,8/12/2024,3.3,Other,4000,4000,4000,,,,,
Punhana,8/13/2024,2.1,Other,3000,4000,3500,,,,,
Punhana,8/14/2024,1.7,Other,4000,4000,4000,,,,,
Punhana,8/15/2024,2.3,Other,4000,4000,4000,,,,,
Punhana,8/16/2024,2.8,Other,4000,4000,4000,,,,,
Punhana,8/17/2024,2.6,Other,4000,4000,4000,,,,,
Punhana,8/19/2024,2.8,Other,4000,4000,4000,,,,,
Punhana,8/20/2024,3,Other,4000,4000,4000,,,,,
Punhana,8/21/2024,2.4,Other,4000,4000,4000,,,,,
Punhana,8/22/2024,1.5,Other,4000,4000,4000,,,,,
Punhana,8/23/2024,0.6,Other,4000,4000,4000,,,,,
Punhana,8/24/2024,2,Other,4000,4000,4000,,,,,
Punhana,8/26/2024,1,Other,4000,4000,4000,,,,,
Punhana,8/27/2024,1.2,Other,3000,3000,3000,,,,,
Punhana,8/28/2024,1.7,Other,3500,3500,3500,,,,,
Punhana,8/29/2024,2.3,Other,3500,3500,3500,,,,,
Punhana,8/30/2024,2.9,Other,3000,3000,3000,,,,,
Punhana,8/31/2024,2.9,Other,3000,3000,3000,,,,,
Radaur,8/1/2024,6,Other,4000,4000,4000,,,,,
Radaur,8/2/2024,7,Other,3000,4000,3500,,,,,
Radaur,8/3/2024,8,Other,3000,4000,3500,,,,,
Radaur,8/5/2024,6,Other,3500,4200,4000,,,,,
Radaur,8/6/2024,6,Other,2500,3000,2800,,,,,
Radaur,8/7/2024,8,Other,3000,4000,3500,,,,,
Radaur,8/8/2024,7,Other,3000,3500,3200,,,,,
Radaur,8/9/2024,6,Other,2500,3200,2800,,,,,
Radaur,8/10/2024,6,Other,2000,3200,2400,,,,,
Radaur,8/12/2024,8,Other,2500,3800,3000,,,,,
Radaur,8/13/2024,7,Other,2000,3000,2500,,,,,
Radaur,8/14/2024,6,Other,2500,3000,2800,,,,,
Radaur,8/15/2024,7,Other,2000,2500,2200,,,,,
Radaur,8/16/2024,8,Other,2000,3000,2500,,,,,
Radaur,8/17/2024,6,Other,2500,3200,3000,,,,,
Radaur,8/19/2024,7,Other,2000,3000,2500,,,,,
Radaur,8/20/2024,7,Other,2000,2500,2200,,,,,
Radaur,8/21/2024,8,Other,2500,3000,2800,,,,,
Radaur,8/22/2024,8,Other,2500,3000,2800,,,,,
Radaur,8/23/2024,7,Other,2000,2500,2200,,,,,
Radaur,8/24/2024,8,Other,1500,2200,1800,,,,,
Radaur,8/26/2024,9,Other,2000,2200,2100,,,,,
Radaur,8/27/2024,8,Other,1500,2300,2000,,,,,
Radaur,8/28/2024,7,Other,2000,2200,2100,,,,,
Radaur,8/29/2024,8,Other,1800,2200,2000,,,,,
Radaur,8/30/2024,9,Other,2000,2000,2000,,,,,
Radaur,8/31/2024,10,Other,1600,2000,1700,,,,,
Raipur Rai,8/2/2024,0.07,Other,3500,4500,3500,,,,,
Raipur Rai,8/3/2024,0.06,Other,3500,4000,3500,,,,,
Raipur Rai,8/4/2024,0.05,Other,3000,3500,3000,,,,,
Raipur Rai,8/5/2024,0.05,Other,3000,3500,3000,,,,,
Raipur Rai,8/6/2024,0.06,Other,3500,4000,3500,,,,,
Raipur Rai,8/7/2024,0.12,Other,2500,3000,2500,,,,,
Raipur Rai,8/8/2024,0.06,Other,3000,3500,3000,,,,,
Raipur Rai,8/9/2024,0.08,Other,3500,4000,3500,,,,,
Raipur Rai,8/10/2024,0.08,Other,3000,3500,3000,,,,,
Raipur Rai,8/11/2024,0.08,Other,2800,3000,2800,,,,,
Raipur Rai,8/12/2024,0.07,Other,3500,4000,3500,,,,,
Raipur Rai,8/15/2024,0.08,Other,3000,3500,3000,,,,,
Raipur Rai,8/16/2024,0.1,Other,3500,4000,3500,,,,,
Raipur Rai,8/17/2024,0.08,Other,3000,3500,3000,,,,,
Raipur Rai,8/20/2024,0.08,Other,3500,4000,3500,,,,,
Raipur Rai,8/21/2024,0.08,Other,3500,3800,3500,,,,,
Raipur Rai,8/22/2024,0.07,Other,1600,2000,1600,,,,,
Raipur Rai,8/23/2024,0.1,Other,2000,2500,2000,,,,,
Raipur Rai,8/24/2024,0.1,Other,2000,2500,2000,,,,,
Raipur Rai,8/26/2024,0.12,Other,2000,2500,2000,,,,,
Raipur Rai,8/27/2024,0.12,Other,2800,3000,2800,,,,,
Raipur Rai,8/28/2024,0.12,Other,3000,3200,3000,,,,,
Raipur Rai,8/29/2024,0.08,Other,3000,3200,3000,,,,,
Raipur Rai,8/30/2024,0.12,Other,2500,3000,2500,,,,,
Raipur Rai,8/31/2024,0.08,Other,2500,2800,2500,,,,,
Rania,8/1/2024,0.2,Other,1800,2000,1900,,,,,
Rania,8/2/2024,0.1,Other,1900,2200,2100,,,,,
Rania,8/3/2024,0.2,Other,2000,2200,2100,,,,,
Rania,8/4/2024,0.2,Other,1900,2200,2000,,,,,
Rania,8/5/2024,0.2,Other,2100,2300,2200,,,,,
Rania,8/8/2024,0.1,Other,2000,2200,2100,,,,,
Rania,8/9/2024,0.2,Other,2100,2300,2200,,,,,
